"","SourceName","TargetName","Weight","SourceID","TargetID","diceSim"
"54","metabolic","vascular","0.0181818181818182",21,17,0.222222222222222
"55","much","diab","0.0181818181818182",13,10,0.5
"56","much","stress","0.0181818181818182",13,11,0.5
"57","much","toll","0.0181818181818182",13,12,0.5
"58","patients","metab","0.0181818181818182",23,16,0.222222222222222
"59","patients","vascular","0.0181818181818182",23,17,0.222222222222222
"60","people","metab","0.0181818181818182",22,16,0.222222222222222
"61","people","vascular","0.0181818181818182",22,17,0.222222222222222
"62","reducing","thenosm","0.0181818181818182",26,24,0
"63","released","thenosm","0.0181818181818182",25,24,0
"64","research","thenosm","0.0181818181818182",30,24,0
"65","rhythmic","disturbed","0.0181818181818182",7,6,0.8
"66","rhythmic","expression","0.0181818181818182",7,5,0.8
"67","rhythmic","function","0.0181818181818182",7,8,0.666666666666667
"68","rhythmic","gene","0.0181818181818182",7,4,0.8
"69","rhythmic","type","0.0181818181818182",7,9,0.666666666666667
"70","stress","diab","0.0181818181818182",11,10,0.8
"71","stress","health","0.0181818181818182",11,2,0.444444444444444
"72","stress","much","0.0181818181818182",11,13,0.5
"73","stress","take","0.0181818181818182",11,14,0.5
"74","stress","toll","0.0181818181818182",11,12,0.8
"75","take","diab","0.0181818181818182",14,10,0.5
"76","take","stress","0.0181818181818182",14,11,0.5
"77","take","toll","0.0181818181818182",14,12,0.5
"78","thenosm","burden","0.0181818181818182",24,29,0
"79","thenosm","called","0.0181818181818182",24,28,0
"80","thenosm","diabetes","0.0181818181818182",24,3,0
"81","thenosm","findings","0.0181818181818182",24,27,0
"82","thenosm","reducing","0.0181818181818182",24,26,0
"83","thenosm","released","0.0181818181818182",24,25,0
"84","thenosm","research","0.0181818181818182",24,30,0
"85","toll","diab","0.0181818181818182",12,10,0.8
"86","toll","health","0.0181818181818182",12,2,0.444444444444444
"87","toll","much","0.0181818181818182",12,13,0.5
"88","toll","stress","0.0181818181818182",12,11,0.8
"89","toll","take","0.0181818181818182",12,14,0.5
"90","type","disturbed","0.0181818181818182",9,6,0.666666666666667
"91","type","expression","0.0181818181818182",9,5,0.666666666666667
"92","type","gene","0.0181818181818182",9,4,0.666666666666667
"93","type","rhythmic","0.0181818181818182",9,7,0.666666666666667
"94","vascular","died","0.0181818181818182",17,20,0.222222222222222
"95","vascular","disorders","0.0181818181818182",17,19,0.222222222222222
"96","vascular","djamaessa","0.0181818181818182",17,18,0.222222222222222
"97","vascular","metab","0.0181818181818182",17,16,0.857142857142857
"98","vascular","metabolic","0.0181818181818182",17,21,0.222222222222222
"99","vascular","patients","0.0181818181818182",17,23,0.222222222222222
"100","vascular","people","0.0181818181818182",17,22,0.222222222222222
